" function fibonacci (n)",fibTabble," return fibTabble[n]",fibIncremento,index,"index <= n","add (fibTabble[index] ,fibIncremento)"
"5",[0],"-",1,0,"true","0 + 1 = 1"
"5","[0,1]","-",0,1,"true","1 + 0 = 1"
"5","[0,1,1]","-",1,2,"true","1 + 1 = 2"
"5","[0,1,1,2]","-",1,3,"true","2 + 1 = 3"
"5","[0,1,1,2,3]","-",2,4,"true","3 + 2 = 5"
"5","[0,1,1,2,3,5]","-",3,5,"true","5+3 = 8"
"5","[0,1,1,2,3,5,8]","8",5,6,"false","-"
,,,,,,
,,,,,,
"function factorial(x)",factRes,"return factRes","i ",i > 1,"multiply (factRes, i)",
"5",5,"-",4,true,"5*4 = 20",
"5",20,"-",3,true,"20*3 = 60",
"5",60,"-",2,true,"60*2 = 120",
"5",120,"            -",1,false,"-",
"5",120,"120",-,-,"-",
,,,,,,
,,,,,,
"function power (x,n)",powerT,"return powerT",i,i <= n,"multiply(x,PowerT)",
"3,3",1,"-",1,true,"3 * 1 = 3",
"3,3",3,"-",2,true,"3*3 = 9",
"3,3",9,"-",3,true,"9*3  = 27",
"3,3",27,"-",4,false,"-",
"3,3",27,"27",-,-,"-",
,,,,,,
,,,,,,
" function multiply(a,b)",product,"return product","i ",i <= b,"add (product,a)",
"3,5",0,"-",1,true,"0 + 3 = 3",
"3,5",3,"-",2,true,"3 + 3 = 6",
"3,5",6,"-",3,true,"6 + 3 = 9",
"3,5",9,"-",4,true,"9 + 3 = 12",
"3,5",12,"-",5," true","12 + 3 = 15",
"3,5",15,"-",6,false,"-",
"3,5",15,"15",-,-,"-",
,,,,,,
,,,,,,
"function add (a,b)",a + b,"return",,,,
"3,5"," 3+ 5 = 8","8",,,,
,,,,,,
,,,,,,
